水盆|水桶
唇膏|口红
纸巾|手帕
吉他|琵琶
奖牌|金牌
壁纸|贴画
鸭舌帽|遮阳帽
生活费|零花钱
图书馆|图书店
沐浴露|沐浴盐
洗发露|护发素
高跟鞋|增高鞋
面膜|眼罩
风筝|纸鸢
积木|乐高
筷子|勺子
枕头|抱枕
沙发|椅子
皮鞋|布鞋
雨衣|雨伞
围巾|披肩
春联|福字
背心|短袖
拖把|扫帚
凉鞋|拖鞋
哑铃|杠铃
积木|积塑
布鞋|板鞋
古筝|扬琴
领带|领结
球鞋|跑鞋
毛巾|面巾
橱柜|碗柜
背心|肚兜
手表|怀表
蜡烛|蜡笔
眉笔|眉粉
连衣裙|半身裙
运动鞋|休闲鞋
笔记本|作业本
遮阳伞|晴雨伞
热水袋|暖手宝
毛绒熊|布娃娃
风油精|清凉油
帆布鞋|板鞋
折叠椅|躺椅
橡皮擦|修正带
遮阳帽|棒球帽
麻花辫|双马尾
纯棉毛巾|竹纤维毛巾
羽绒枕头|荞麦枕头
折叠沙发|实木沙发
书包|挎包
钢笔|圆珠笔
铅笔|自动铅笔
剪刀|美工刀
胶水|胶带
订书机|打孔机
文件夹|档案袋
笔记本电脑|平板电脑
鼠标|触控板
键盘|手写板
U盘|移动硬盘
充电宝|充电器
数据线|充电线
耳机|音箱
墨镜|眼镜
帽子|头巾
手套|袖套
袜子|丝袜
内衣|文胸
睡衣|浴袍
牛仔裤|休闲裤
衬衫|T恤
西装|风衣
羽绒服|棉袄
钱包|卡包
背包|行李箱
购物袋|手提袋
水杯|保温杯
茶杯|马克杯
碗|盘子
锅|炒锅
菜刀|水果刀
砧板|菜板
洗洁精|洗衣液
肥皂|香皂
牙膏|漱口水
牙刷|牙线
梳子|发刷
镜子|化妆镜
剃须刀|电推子
吹风机|卷发棒
指甲钳|指甲刀
剪刀|修眉刀
香水|花露水
发夹|发圈
项链|手链
戒指|耳环
钥匙|钥匙扣
