橙子|橘子
葡萄|提子
牛奶|豆浆
白菜|生菜
辣椒|芥末
烤肉|涮肉
面包|蛋糕
油条|麻花
牛肉干|猪肉脯
泡泡糖|棒棒糖
土豆粉|酸辣粉
口香糖|木糖醇
酸菜鱼|水煮鱼
小笼包|灌汤包
鱼香肉丝|四喜丸子
麻婆豆腐|皮蛋豆腐
金丝猴|大白兔
果粒橙|鲜橙多
铁观音|碧螺春
汉堡包|肉夹馍
螺蛳粉|臭豆腐
炒饭|炒面
火锅|烧烤
苹果|梨子
火腿|香肠
花椒|麻椒
草莓|樱桃
陈醋|米醋
牛奶|酸奶
菠萝|凤梨
汤圆|元宵
红茶|黑茶
香瓜|甜瓜
银耳|木耳
花椒|胡椒
汤圆|丸子
红茶|黄茶
饼干|酥饼
红枣|黑枣
蜂蜜|蜂胶
麻辣烫|串串香
八宝粥|莲子粥
矿泉水|纯净水
龙井茶|碧螺春
绿豆糕|红豆糕
火龙果|猕猴桃
奶油蛋糕|慕斯蛋糕
冰红茶饮料|绿茶饮料
油炸薯条|烤马铃薯条
速冻水饺|手工水饺
黑巧克力|白巧克力
薯片|薯条
包子|饺子
月饼|蛋黄酥
冰淇淋|雪糕
可乐|雪碧
豆腐|豆腐脑
馄饨|云吞
年糕|糍粑
红糖|白糖
榴莲|菠萝蜜
西瓜|哈密瓜
芒果|木瓜
柚子|西柚
荔枝|龙眼
杏仁|核桃
花生|瓜子
南瓜|冬瓜
黄瓜|丝瓜
茄子|苦瓜
胡萝卜|白萝卜
香菇|平菇
鸡蛋|鸭蛋
咸鸭蛋|皮蛋
粽子|糯米团
煎饼|春卷
油饼|馅饼
牛肉面|羊肉面
米粉|米线
刀削面|拉面
云吞面|伊府面
豆浆|豆奶
奶茶|咖啡
果汁|奶昔
苏打水|气泡水
绿茶|白茶
普洱|铁观音
馒头|花卷
烧饼|煎饼
蛋挞|泡芙
甜甜圈|麻花
曲奇|饼干
蛋糕|提拉米苏
布丁|果冻
寿司|刺身
拉面|乌冬面
炒河粉|炒米粉
红烧肉|东坡肉
宫保鸡丁|辣子鸡
糖醋排骨|红烧排骨
